Points,Raw Dim,Compressed Dim,Worst Similarity,Best Similarity,Worst Distance,Best Distance
8,5,3,0.856668039,0.997290702,0.53541005,0.073611114
8,5,4,0.990954964,0.997789255,0.134499335,0.06649429
8,6,2,0.999846717,0.999943602,0.017509054,0.01062058
8,6,3,0.99985659,0.999946771,0.016935771,0.010317828
8,6,4,0.999813136,0.999956016,0.019332072,0.009379073
8,6,5,0.999843887,0.999946108,0.017669908,0.01038191
8,7,2,0.99963285,0.999752997,0.027097952,0.022226249
8,7,3,0.999400573,0.999815917,0.034624468,0.019187674
8,7,4,0.999298146,0.999819437,0.037466087,0.019003293
8,7,5,0.999444194,0.999831646,0.03334086,0.018349603
8,7,6,0.999327876,0.999847136,0.036663987,0.017485087
8,8,2,0.995175729,0.998846497,0.098226992,0.048031303
8,8,3,0.991333619,0.998909658,0.13165395,0.046697793
8,8,4,0.996883075,0.999187864,0.078954728,0.040302256
8,8,5,0.993656195,0.999214882,0.112639294,0.039626199
8,8,6,0.996903248,0.999224428,0.078698823,0.039384564
8,8,7,0.997363759,0.999200319,0.072611861,0.039992016
8,9,2,0.997176963,0.999521877,0.075140366,0.030923232
8,9,3,0.99846595,0.999479099,0.055390438,0.032276965
8,9,4,0.998217475,0.999695081,0.059708032,0.024694904
8,9,5,0.99598031,0.99957903,0.089662593,0.029016191
8,9,6,0.998038493,0.999677974,0.062633965,0.025378175
8,9,7,0.998376127,0.99968864,0.056989006,0.02495434
8,9,8,0.998829568,0.999556413,0.048382473,0.029785466
8,10,2,0.99867833,0.999688508,0.051413431,0.024959662
8,10,3,0.999276394,0.999611883,0.038042234,0.027860971
8,10,4,0.998928629,0.999590653,0.046289758,0.028612839
8,10,5,0.9990535,0.999558061,0.04350861,0.029730073
8,10,6,0.99900761,0.999486035,0.044550871,0.032061357
8,10,7,0.999087167,0.999507821,0.042727818,0.031374492
8,10,8,0.999155967,0.999667562,0.041086092,0.025785208
8,10,9,0.998665086,0.999693206,0.051670384,0.024770689
8,11,2,0.999919154,0.999946933,0.012715845,0.0103021
8,11,3,0.998521915,0.999932794,0.054370663,0.011593642
8,11,4,0.999834337,0.999949488,0.018202351,0.010051049
8,11,5,0.999841542,0.999956218,0.017802151,0.009357523
8,11,6,0.999842081,0.99995827,0.017771833,0.00913566
8,11,7,0.999796866,0.999945857,0.020156114,0.01040609
8,11,8,0.999813731,0.999942716,0.019301252,0.010703633
8,11,9,0.999799235,0.99994051,0.02003821,0.010907841
8,11,10,0.999667774,0.999950474,0.025776971,0.009952535
8,12,2,0.999757598,0.999865776,0.022018271,0.016384373
8,12,3,0.999585142,0.999847812,0.028804778,0.017446395
8,12,4,0.999738298,0.999871876,0.022878031,0.016007774
8,12,5,0.99973478,0.999848098,0.023031274,0.017429947
8,12,6,0.999439355,0.999896281,0.033485663,0.014402688
8,12,7,0.999664044,0.999830993,0.025921272,0.01838514
8,12,8,0.999614607,0.999867363,0.027763025,0.016287246
8,12,9,0.999672031,0.999866858,0.02561127,0.016318226
8,12,10,0.999590567,0.99986935,0.028615838,0.016164782
8,12,11,0.999523077,0.999865754,0.030884391,0.01638572
8,13,2,0.999799278,0.999837012,0.02003608,0.01805482
8,13,3,0.2696291,0.999835851,1.208611518,0.018118976
8,13,4,0.999581981,0.999889011,0.028914305,0.014898914
8,13,5,0.999646437,0.999890006,0.026591849,0.01483202
8,13,6,0.999581866,0.999872902,0.028918293,0.015943547
8,13,7,0.999673842,0.999909029,0.025540465,0.013488604
8,13,8,0.999553803,0.999874331,0.029872979,0.015853638
8,13,9,0.999380973,0.999912364,0.035186001,0.01323901
8,13,10,0.99950637,0.999856999,0.031420692,0.01691158
8,13,11,0.999544769,0.999905976,0.030173861,0.013713049
8,13,12,0.999430318,0.999866866,0.033754464,0.016317731
8,14,2,0.998901307,0.999460725,0.046876281,0.032841299
8,14,3,0.996962593,0.999370372,0.077941096,0.03548601
8,14,4,0.998697353,0.999571056,0.051042077,0.029289712
8,14,5,0.998279562,0.999597578,0.058658976,0.028369756
8,14,6,0.998647303,0.99961139,0.052013399,0.027878648
8,14,7,0.997850862,0.999634706,0.06556124,0.0270294
8,14,8,0.998666809,0.999601125,0.051637018,0.028244466
8,14,9,0.998364677,0.99937682,0.057189567,0.035303837
8,14,10,0.998565859,0.999514883,0.053556344,0.031148588
8,14,11,0.998137623,0.999497753,0.061030769,0.031693768
8,14,12,0.997918336,0.999411153,0.064523856,0.03431756
8,14,13,0.996628523,0.999479326,0.082115486,0.03226991
8,15,2,0.999942386,0.999988695,0.01073443,0.004755029
8,15,3,0.999873946,0.999982884,0.015877906,0.005850792
8,15,4,0.999890288,0.999978702,0.014812963,0.006526528
8,15,5,0.999946911,0.999982744,0.01030428,0.005874718
8,15,6,0.999952199,0.999980256,0.009777618,0.006283987
8,15,7,0.999874539,0.999981211,0.015840531,0.00613013
8,15,8,0.999889846,0.999976076,0.014842769,0.006917262
8,15,9,0.999926646,0.999966812,0.012112328,0.008147125
8,15,10,0.999920771,0.99997329,0.012588035,0.007308931
8,15,11,0.999916796,0.999963395,0.012899909,0.008556231
8,15,12,0.999885207,0.999971743,0.015152122,0.007517566
8,15,13,0.999917619,0.99997014,0.012835941,0.007727904
8,15,14,0.999928694,0.999971036,0.011942007,0.007611009
8,16,2,0.999962255,0.999984977,0.008688479,0.00548137
